Review,Price,Quality,Delivery Cost,Packaging,Overall Sentiment
seem to be ok havent used enough to know their longevity  batteries are too high priced everywhere,good,good,-,-,good
"these batteries go with the trash
 can i also purchased",-,-,-,-,-
i expected dollar store quality batteries when i bought these at such a low cost but im very satisfied with the durability of these i bought them for the automatic trash can lid and we work them silly they are strong  i wont buy another brand name battery at my local retailer ever again amazonbasics is my new alkaline battery,very good,very good,very good,-,very good
"omgi had to call my firefighter son to come over with the jaws of life to extract the batteries from the packaginga little overkill for sure

batteries are batteriesthe cheaper the better",very good,-,-,very good,very good
i have very light beige couches that my dog has been rubbing her beard along the front of and discoloring the cushions i tried my normal homemade solution and the special stain recipe for the upholstery cleaner but it did not remove the stains this was my last ditch effort to clean years of stubborn stains and it worked like a charm i recommend cleaning the entire item not just the dirty area because the stain will move to the edges of the cleaned area highly recommend,-,very good,-,-,very good
i used this on the arm of my beige sofa which had stained almost gray over the years and was so gross  one application and the majority of the staining is gone  one or two spots ill treat again but amazing results for old stains  nice fresh scent too  spray on wait 5 minutes blot off  what could be easier than that to bring new life to my couch?  highly recommend,-,very good,-,-,very good
i rely on this product for i have 2 cats with sensitive stomachs one even chews and eats plastic bags i swear she has a nose of a blood hound i have extremely neurotic felines and daily throw up is killing me i buy high grade sensitive food too this product is effective and efficient and a must have in my household instructions are pretty simple and after the carpet dries it still is working to break down that spot unfortunately i have light carpeting and resolve is the best product on the market for tackling cat throw up nauseated face i also have a hand held bissel but it takes a lot more time to sit and do that with resolve you just clean up the mess spray liberally and dab if you rub it in it tends to smear the spot and a little more likely to stain but you can also retreat after it dries i highly recommend this brand it is superior to most other products and believe me i have tried them all with inflation driving prices through the roof i auto ship this one because it stays at that price if they drive it back up i research other sellers i am a satisfied customer and recommend this product for a household that has pukey pets or messy youngsters because resolve will clean it up,very good,very good,very good,-,very good
previously i tried the foam and vacuum off cleaners on my dining room chairs – they didnt touch the dirt/stains one light application of this stuff spray it on wipe it off stains came out chairs look like new didnt affect the fabric colors excellent product,-,very good,-,-,very good
this will remove stains like toddler fingerprints off of your furniture a must have for a house full of pets and children,-,good,-,-,good
"i purchased this to spruce an upholstered mcm chair that was on my screened porch the plan was to bring it into the house after rearranging a few heavier pieces that i would need help with before i was able to bring it in ian hit it survived amazingly well i hadnt had a chance to start on that project yet however my dog had a belly ache last night poor thing left vomit on the upholstered couch it was time to give it a try it has a fresh scent it made the stain come upeven that terrible ring around the perimeter you knowyuck
highly recommend",-,good,good,-,good
easy to use and cleans upholstery well,-,very good,-,-,very good
bought this to spot clean my microfiber couch it works very well fast delivery and will buy again,-,very good,very good,-,very good
when we put in new ceilings i used these bags to throw away the old panels that came down they stretched really well and handled the weight in them,-,good,-,-,good
very satisfied with this product the locking lid is genius purple heart,-,-,-,-,-
no rips after using a box of them will buy again,-,-,-,poor,poor
great for outside stuff like limbs grass and leaves,-,-,-,-,-
see above,-,-,-,-,-
these are always strong and durable especially since im know to continue adding to an already full bad theyve never ripped open even when pushed to the limit the drawstring is also quite strong the scent is hardly noticeable but still makes the purchase well worth it,-,very good,-,-,very good
good strength and fits the bill,-,very good,-,-,very good
does the job,-,-,-,-,-
very good quality for the price,good,good,-,-,good
easy to use  seals well,-,very good,-,-,very good
this item is really good and big but i was expecting little smaller in size make sure the size is what you want before purchase but price wise it is good and also good for keeping big item in frozen,very good,very good,-,-,very good
worth the money,good,-,-,-,good
im not usually a brand snob but sometimes they really are better for me this is one of those times no crazy zippers that dont seem to close either direction no flimsy little strips that are impossible to line up much less to get them to close or worse yet stay closed when they are full  just strong bags that close the first time and that i can depend on them staying closed ive done the math they are only a penny or two more per bag for me they are worth it,-,neutral,neutral,-,neutral
product is fine as expected however the boxes were each banged up and needed taping to hold their shape for use,-,good,-,good,good
food storage,-,-,-,-,-
love the brand and very durable,-,very good,-,-,very good
i only buy ziploc brand the seals work well and the bags come in a variety of sizes but remember that if you are storing food in the freezer use the ziploc freezer bags for more durability,-,neutral,-,-,neutral
cannot open seal rips every time this is the first time zip locs have been inferior every single one without exception is defective,-,-,neutral,-,neutral
like that it holds food,-,-,-,-,-
theyre in everyones house in this time and place we all use them and we all need them,-,neutral,neutral,-,neutral
i always come back to these for random items organization and food items for storage for the fridge also use them for chips preserving when i already tossed the chip bag by accident,-,poor,-,-,poor
yeh i have no problems with these ziplock storage bags they feel and operate similarly to nearly any other brand i have used including super cheapos these arent freezer bags so if you need something thicker go with freezer bags this is more like a huge sandwich bag perfect for basic storage i like the additional tab on top as it does make it easier to grab since these arent that much different than any others i bought it based on the going price i dont always get to the store nor am i making extra trips so adding it to an amazon order was the best decision for me for this  i also bought a box of their,very good,very good,-,very good,very good
"that have also been perfectly fine for basic snack storing needs

5 stars not because they are better than others but because they perform as expected and i have had no issues as others have mentioned",-,-,-,-,-
i dont know what they did to these bags but once they are zipped shut it takes a delicate army to separate the seal a generous tug used to be about right as the bag would separate and contents were accessible now simply trying to pull rips the top of the tabs off the bags,-,very good,-,-,very good
i reviewed another size too but fir quality and reliability these red pink top ziplocs are my absolute favorite for traveling camping freezer etc i even put a large mouthwash bottle in one on trips and it opened and the ziploc kept it contained the green tops or plastic zipper tops do not stay closed as well as this one this is the best,-,very good,-,very good,very good
we got 100 spoons and forks but 99 knives,-,-,-,-,-
smaller than some plastic silverware  medium strength  good for a kids bday party but not an adult dinner party,-,very good,-,-,very good
the set of two sizes of forks two sizes of spoons and steakcutting knives  hopefully ill be able to find matching serving spoons/forks etc  youll love the quality and value,very good,very good,-,-,very good
i really like this addition to my garden  it seems durable and well made,-,-,-,-,-
these are a great price and depending on what you might use them for they will work however they are pretty flimsy especially the forks broke to pieces as i was trying to cut a piece of chicken so as long as you use them for soft foods and dont apply too much pressure they are perfect beaming face with smiling eyes i do not let my toddler use these because i am afraid the plastic will break off in her mouth just fyi,very good,very good,-,-,very good
i think for the price these are great especially for parties we just wanted to cut down on dishes so this does what it needs to,very good,-,-,-,very good
these are very flimsy  smaller than average plastic cutlery not much cheaper per unit than buying from target or walmart but quality is much less would not buy again,neutral,neutral,-,-,neutral
good price quick delivery durable plastic surprised at the length of utensils shorter than norm just a minor detail overall like product and will buy again,very good,very good,very good,-,very good
very surprised and pleased when i ordered these and discovered that theyve seemingly been made much thicker than they were in the past on top of having a lot more of the solution actually on the cloths so thats already a huge plus for me i use these to clean our floors since they are convenient and easy to use but they still clean very well as well as making the home smell fantastic the lavender scent they also carry is lovely without being overpowering so if youre a fan of lavender definitely gives those a try as well,-,very good,-,very good,very good
the only issue i have is that these normally come with a plastic cover to keep them from drying out my package only came with plastic wrap around the top that i had to throw out otherwise product works and smells amazing,-,very good,-,very good,very good
i love the swiffer its so easy to use and saves so much time,-,very good,very good,-,very good
easy to use without any fuss  it attaches to my mop head and when done you just toss it dont forget that you can turn it over and use the other side too,-,good,-,-,good
the product is good but it was delivered without a lid and the top was ripped causing some liquid to wet the box  it was returned as the odor was very strong  hoping the replacement is properly sealed and has the lid or it will be returned also,-,very good,-,very good,very good
these are swiffer wipes for wiping and swiffing and sniffing,-,-,-,-,-
so easy to use and smells amazing,-,very good,-,-,very good
nothing is easier than using this product on your floors i have automatic reorder set every month,-,-,-,-,-
"update i was rather bummed to find out that this price isnt really that good of a bargain it can be bought at dollar general for less

i havent seen this solid air freshener since the 70s it seemed like everyone had 1 on the back of their toilets i didnt know that it was still being made i originally bought it out of curiosity and because of its low price i like the scent and the fact that you can control the strength of the scent by how much you open or close the top im not particularly thrilled with the fact that it looks like an air freshener but i do keep it in my entryway stashed out of sight it does a good job of continuously leaving my entryway smelling nice and fresh i do recommend this air freshener for smaller areas i dont have a clue as to whether or not itd work in larger areas its a nice inexpensive and convenient way to keep my entryway smelling fresh i will continue to buy it as long as the price remains budget friendly",very good,very good,-,-,very good
the smell is very good but it the smell fades too fast,-,good,-,-,good
ie used it to make my room smell good and keep it fresh it is definitely a 10 out of 10 its smells amazing,-,very good,-,-,very good
nice scent and a great value i would recommend them to anybody,very good,-,-,-,very good
theyre fine i like the aroma not particularly strong i pull the whole top off for maximum effect but still not strong,-,poor,-,-,poor
glade is always good smells light but good a great price cheaper than buying it in the store will buy again clean linen scent is refreshing,very good,very good,-,-,very good
it was ok but didnt last long,-,neutral,-,-,neutral
smells really good and it lasted a pretty long time,-,very good,very good,-,very good
we have been long time users of the scotch blue kitchen sponges with scrubber as its always on sale and available at costco  saw that americas test kitchen recommended this one as their preferred sponge so thought we would give it a try and it has now become our new favorite  the scotch blue have gotten thinner and thinner with new iterations so it doesnt hold as much water  also the adhesive holding the scrubber on the blue sponges seem to peel off with certain ones  with this sponge its thick and holds a lot of water/soap and have not had a problem yet with the scrubber detaching from the sponge  this is our new kitchen sponge from now on,very good,very good,very good,-,very good
a very good sponge i wish it was just a little thinner it would make it easier to was dishes with yes i still wash dishes and im use to it using a dish rag you cant feel what you are washing with a sponge,-,very good,-,-,very good
best sponges ive ever used went on by recommendation from american test kitchen and glad i did these are in a category of their own they last forever dont stink up or fall apart,-,very good,-,-,very good
they last a long time they dont get all smelly or fall apart after scrubbing the little divets on the top make it so much more durable fantastic,-,very good,very good,-,very good
i feel kind of duped ive been using s brand sponges for forever i thought all sponges almost immediately became raggedy disgusting things that had to be banished to the trash new pack in hand after just having bought the last these though change the game they are super strong hold up well keep pretty clean and dont seem to absorb too much odor food particle etc theyre great for cleaning elsewhere too as the scrub side while it doesnt scratch does have some real power i think one probably makes back the money using these,very good,very good,-,-,very good
this is the third time i am buying this sponge in practicality and functionality i am yet to see another one that can match it regarding the longevity of use no one can shake a stick at either,-,poor,poor,-,poor
these are by  far the best sponges ive ever used i highly recommend them,-,very good,-,-,very good
stop buying those scotchbrite pads found on aisle 7 of walmart  stop doing it now  once you try the ocedar scrunge  you will never return to aisle 7 again  seriously they are that good and for whatever reason dont get that used sponge rotten smell as quickly or strongly  sorry scotchbrite  into the dust bin with the salvo tablets,-,poor,-,-,poor
these plates were used for a party  they were fabulous quality they are not cheapy in any way shape or form  you can even wash them  reuse them if you really need to  price was spot on  enjoy  happy shopping ,very good,very good,-,-,very good
we ordered these plates for our office  they are the perfect size and the fact they are biodegradable is an extra bonus  these are great for any food and they are indeed sturdy,-,-,-,-,-
these disposable plates are very sturdy  reliable no spills in your lap  i am very pleased with my purchase and recommend this product,-,good,-,-,good
i took these to a potluck to serve hot pozole they held up amazingly well very durable and i am so happy to support compostable products,-,-,-,-,-
the plates are wonderful not only are they safe for the environment they also hold just a little less food for those whom it matters,-,-,-,-,-
these plates are perfect for outdoor use very sturdy,-,good,-,-,good
nice and thick,-,-,-,-,-
biodegradable and compostable product that is great looking and performs well  much less expensive than the major brand it is comparable to,very good,-,-,-,very good
"if your sitting on the fence and wondering why buying paper towels on amazon is better than heading to the grocery store then read me

i get you you dont want to throw more money away to amazon unless unless it provides you a life hack right here on less thing to think about well this is it for paper towels  put it on intsnat order alomg with their toilet paper and kleenex for about every 34 weeks i do this about every 3 weeks we are a a household of 3 of 3 adults ~ 2 parents and 1 adult teen 19 so add a week for every person that you have over to that ratio 1 roll of paper towels per adult per week 3 weeks so 1 week equals 3 adults same can be said for a 2  6 packs of toilet paper give or take depending upin how many menstrual women are inyoru home  do you get it???  the not having to add it to my local grocery list is great and the added savings is a huge bonus it is about that same price as bounty or another comparable brand just order dont regret or worry your welcome",very good,very good,-,-,very good
i purchased this toilet paper for the first time about a month ago and i must say i am impressed  it has all the softness and strength of the brand i was using at a lower price  our wallet and my familys delicate backsides are very happy,very good,-,very good,-,very good
what is so great about this paper is its strength yet it is still soft and comfortable  i find one can use less which means a roll lasts longer,-,very good,-,-,very good
i am very surprised by the quality of this product its soft absorbent doesnt rip or give off lint as long as they keep this as it is and available this will be the only toilet paper ill be buying,-,neutral,-,-,neutral
"if you were raised using charminroll of paper you are used to wiping your booty clean with quality toilet tissue
well amazons brand toilet tissue is equal in strength  quality while leaving you with a clean derrière",-,very good,-,-,very good
huge rolls that last forever even though hubby said they would only last one day proved him wrong again,-,-,-,-,-
cheaper than fine sandpaper and just as effective,good,-,-,-,good
this toilet paper is decent im not a fan of thick super soft toilet paper due to absorbency but this toilet paper is decent,-,good,-,-,good
this mop is so easy to use and it cleans i have bought every mop system available and none of them ever cleaned like this one  i used it on my bathroom floors with liquid cleaner and even went up my wall with it  i rinsed the mop in the sink with clean water and spun it out for the last wipe on the floor with clean water then i rinsed out the bucket and started over and cleaned my laminate floors  i poured bono floor cleaner in the bucket spun it out so it was just damp and it cleaned my laminate floors amazingly i always felt the spray cleaners on the floors just didnt get the floors all the way clean  with this mop it is just wet enough to thoroughly clean but not too wet for the laminate floors i sent this mop to all of my friends and family and told them they have to get it,-,very good,-,-,very good
"the whole thing of spinning the mop head is good when you do it pump the pedal 5 times or moreeven then  the mop head is not very dry its still pretty wet the mop head doesnt always snap on just right i usually have to re snap it on a couple times when mopping you cant go too fast or the mop head will come off i didnt know it was so used to going so fastthinking face so i had to learn how to slow it down
the bucket cant be filled very highi marked the fill line with a marker there are no rollers  or wheels on the bucket so you gotta haul it aroundits ok  the old mop i used was the o cedar spray mop  with the ‘ microfiber ‘ padsdidnt seem to do very well well our humble opinion is that this  mop / bucket combo seems to work far better than what we were usinghusband saysoh yes it does a better job  i agree  all in all and if course the price was reasonable  2 extra mop heads came with itand yes you can machine wash themi did and it came out snow white clean i do hope this helps someone smiling face with sunglasses",very good,very good,very good,-,very good
at first i thought this mop and bucket were pretty useless it doesnt have separate compartments for clean and dirty water but as i continued to use it and get to know it it actually surprised me in how well it scrubs lvp flooring if you truly want clean floors youre going to have to get your hands wet and handle dirty water but i got a system down now using another bucket for clean water and the mop is pretty great with the pointed corners it scrubs corners really well the long strings of the mop pull debris up the short strings at the middle do the overall scrubbing im really pleased overall i do think that i will be careful with handling it  it does seem like the joints of the handle might be a bit fragile good mop system though,-,very good,-,-,very good
"i saw this reviewed on cooks country in their equipment segment  it ‘won their competition and ive trusted their reviews on other items in the past so i thought id try this floor rig  no brainer assembly of mop
i used white vinegar and water in the pool pail   the mop head does clean well  i used it on wood or d floors and one tile floor  the centrifugal force foot pedal lets you make it as dry or wet as you like  floors look fab  pail is lightweight enough that i easily picked it up to empty it  only criticism of it is you must keep the mop head flat on the floor or you end up using the side of it only  i would definitely buy it again",-,very good,-,-,very good
i have hardwood floors throughout my house and i will never own another mop besides this one again the spinner helps wring out excess water and keeps the floor from getting overwet you dont even have to scrub hard for stains mop head is soft and wont scratch the floor,-,good,-,-,good
"ive had my eye on this mop for a while now and was so excited when my husband surprised me with it

the concept behind the mop is great it was simple and easy to use i was able to mop my living dining and kitchen areas roughly 700 sqft  in about 15 minutes which is a huge plus

the spinner is genius i have hardwood floors and the spinner removed just enough water to protect my floors while still getting a good clean it made mopping kinda fun and the bucket was easy to rinse out

its lightweight which is great however i feel that because its so lightweight some of the structural integrity is gone for instance the mop head would detach from the handle periodically from the weight of the head once wet because the handle couldnt screw in tight enough without stripping the plastic not a major issue if you dont mind tightening it every once in a while

i also love that the mop “refills” are machine washable giving you a clean start every time

overall the mop is fantastic for the price and i would recommend it to anyone",very good,very good,very good,-,very good
"mop/bucket delivers as portrayed in the video/pictures i was impressed with how fast the spindry works realistically i believe that about 95 of the dirty water is centrifugally removed on the very first spin but i could not resist giving the mop head a few more twirls just because its cool to watch and feel the mop handle twirl in your hand

the only negative things i have to say about the mop/bucket system are

i wish the mop head were larger meaning the mop tassels are only about 4 inches long making the overall footprint of the mop head 1112 inches wide at best if totally stretched out flat which is never the case realistically the mop head really only covers about 89 inches in diameter since it bunches up during use

pushing down on the foot pedal hurts your foot if barefooted i found it less painful to press down the pedal approaching it from the side of the bucket rather than the direct toes in first approach

all in all i am happy with my purchase it certainly makes mopping the floor easier",-,very good,-,very good,very good
"i purchased this mop after watching numerous tiktok videos about the many ways you can use this mop to clean your home

its lightweight and its adjustable handle is great as it accommodates people of different heights but also helps with cleaning tubs and cabinets without having to struggle to reach them the easy to wring bucket is lightweight and easy to lug around without feeling like youre carrying a boulder

i am not a fan of housework but this mop makes my life so much easier so if youre on the fence about it dont be buy this mop you wont regret it i loved it so much i bought one for my daughter",-,very good,-,-,very good
they are energizers what more can i say?,-,-,-,-,-
always reliable good battery long lasting,-,good,-,-,good
seems to work im biased toward duracell but like these energizers too,-,very good,-,-,very good
the price  availability were right for me,neutral,-,-,-,neutral
this is a really good value but the packing was really bad this order consisted of d cell and aaa cell batteries which were put in the same to large a box with no padding of any kind this meant that the d cell batteries beat the smaller aaa cell until their package was smashed and aaa cell batteries were all over the place i have found no damage to the batteries and am hopeful that they wont leak,neutral,neutral,-,neutral,neutral
ok,-,-,-,-,-
good price fast shipping,good,good,good,-,good
these batteries were wrapped in plastic and had not been tampered with the batteries worked as expected even though i had no issues with my purchase if i need them again i may just buy them from the store to save a couple of dollars still would recommend it if you dont feel like going into the store to purchase,-,good,-,good,good
very efficient cleans better than older version of this product,-,-,-,-,-
works great,-,very good,-,-,very good
works perfect,-,good,-,-,good
works better than other brands i tried in the past,-,good,-,-,good
cleaned dishes great and glasses without film,-,-,-,-,-
cascade dish pods never disappoint and leave my dishes spotless i considered trying some of the more earth friendly brands but ultimately decided to stick with what i know works great,-,very good,-,-,very good
cleans great,-,-,-,-,-
this is all i buy  my dishwasher is old and we have hard water these pods get dishes clean when absolutely nothing else would work i wish they were cheaper but we make sure to fill up our dishwasher to the brim to get our moneys worth and they come out clean every time,very good,very good,very good,-,very good
"as a pet owner i know firsthand how frustrating it can be to deal with pet hair on clothing and furniture the scotchbrite lint roller has been a game changer for me and im so glad i discovered it

the lint roller works great on pet hair and other lint and it picks it up quickly and easily the 95 sheets per roll also last a long time so you wont need to replace it too often

the compact size of the lint roller makes it easy to carry with you onthego and the adhesive is strong enough to pick up even the smallest hairs i also appreciate that the handle is made from 100 recycled plastic

overall i would highly recommend the scotchbrite lint roller to any pet owner or anyone who deals with lint on a regular basis its effective easy to use and convenient and it will save you time and frustration in dealing with pet hair its a musthave in any home",-,very good,very good,very good,very good
the material used to make the sheets seems to make lint and other stuff stick a little less compared to other cheaper generic brands i have used it still picks stuff up just not as well as i had hoped since i paid for a more expensive branded item this time,neutral,neutral,neutral,-,neutral
this lint roller is the best weve ever had my daughter must wear dark clothing as an asl interpreter and she owns a border collie this roller works and its easy to peel the sheets off highly recommend,-,very good,-,-,very good
does a good job of picking up lint from material,-,good,-,-,good
the one thing id say is that the adhesion power is superb lifts off the lint and hair i have on my clothes with ease however id like to add that since the adhesive power is so strong it tends to stick to my clothes and unwrap itself from the spool there are times when i accidentally ruin 23 sheets when trying to lintroll my clothes in a rush maybe im being too rough with it but thats just been my experience overall very solid product if you roll at a more reasonable pace than i do,very good,very good,very good,-,very good
decent product exactly what i expected for the price does the job adequately id buy it again ,neutral,-,-,-,neutral
this is great to remove cat hair from clothes must have for anyone with pets who shed hair great price and happy with my purchase,very good,-,-,-,very good
these plates were used for a party  they were fabulous quality they are not cheapy in any way shape or form  you can even wash them  reuse them if you really need to  price was spot on  enjoy  happy shopping ,very good,very good,-,-,very good
we ordered these plates for our office  they are the perfect size and the fact they are biodegradable is an extra bonus  these are great for any food and they are indeed sturdy,-,-,-,-,-
these disposable plates are very sturdy  reliable no spills in your lap  i am very pleased with my purchase and recommend this product,-,good,-,-,good
i took these to a potluck to serve hot pozole they held up amazingly well very durable and i am so happy to support compostable products,-,-,-,-,-
the plates are wonderful not only are they safe for the environment they also hold just a little less food for those whom it matters,-,-,-,-,-
these plates are perfect for outdoor use very sturdy,-,good,-,-,good
nice and thick,-,-,-,-,-
biodegradable and compostable product that is great looking and performs well  much less expensive than the major brand it is comparable to,very good,-,-,-,very good
this product arrived well packaged and in good condition when i first replaced my old ceiling fan remote control battery with one of these it did not work it turns out that these remotes typically need to be “synced“ again to the fan receiver after losing power once i did that the battery worked fine the only reason i am giving four stars is i am not yet sure how long this will last they do seem to be a very good value,very good,very good,-,very good,very good
aside from waiting a couple days to get here these were far cheaper than what i was seeing in the store and theyve been holding up a lot longer i was expecting them to not last as long but the trade off being at least id get 6 for the price of two and maybe id just have to replace them a couple more times no theyre actually holding up well and i feel like i just got a better deal now instead of having two batteries i have 6 so 5 spares when ill need them later,good,good,good,-,good
only needed one but for the price of a single brand name i got 6 now if only they last long enough i may have to find something else to use the rest of them,neutral,neutral,-,-,neutral
"needed battery for ceiling fan remote control so far so good working as intended
good price for what you get",very good,very good,-,-,very good
not much to say really these were exactly what i needed to get my fan remotes working again hopefully theyll last a couple years like the duracells i used previously did no defects in any of the ones ive opened so far,-,good,-,-,good
"ive had great success and performance from this brand
very cost effective and performance
ive ordered multi types of this brand and it all started with the fire detector chirps and these last well over a year
great value and highly recommend",very good,very good,very good,-,very good
"i needed some new batteries for the remotes for my fans/lights and these work great at a very good price compared to others i saw certainly less than in my local hardware where 2 cost the same as the 6 i got with this order
batteries fit perfectly in my remotes and have now been in place for a couple of months and have performed flawlessly",very good,very good,very good,-,very good
i took out the dead battery  i put in the new battery  i pushed the button  the remote control worked i am happy,-,neutral,-,-,neutral
"this product was recommended to me after i complained to someone about how difficult my other brand of plastic wrap was both to cut and to keep it from sticking to itself  it took me a while to start using it because i was stocked with the other brand

it was such a blessing to pull the wrap from the container and have it lay completely flat whether over a container or on a flat surface to place something upon it  i try to buy meat products in bulk or when on sale and for the first time im confident to put them in my freezer in just the plastic wrap without feeling like i need to put the wrapped items in a zipper bag additionally

i dont remember what i paid for this though i suspect that it was more than other brands  all i know is that the frustration it saves me is worth its cost and i will be buying this again in the future",bad,-,bad,bad,bad
no longer available in my area so for years ive been struggling with plastic wraps was happy to find it on amazon  same great wrap and in  upgraded packaging thank you reynolds ,-,very good,-,very good,very good
i like that the slicer in its box makes it easy to cut off a sheet of plastic wrap but i noticed the plastic doesnt cling too well i find myself having to tuck the plastic under a bowl with a lip or having to really press the plastic down against a bowl/plate surface there is some cling to it just not much but for the price im not really complaining,good,-,-,good,good
"its easy to use and cut off just what you need  i use it daily  wouldnt be without it
i recommend",-,neutral,-,-,neutral
plastic wrap and i are enemies because i always struggle to rip it off properly this is easy to rip and is a good quality and value for the money,good,good,-,-,good
nothing special but it works,-,neutral,-,-,neutral
walmart was always out of stock so i tried this  best plastic wrap  not as thin as walmart brand and slide cutter is nicer  good value and even the box is more durable than other brands  will just buy more of this when i need it,very good,very good,-,very good,very good
i love that you can pull out as much as you want and then the cutter will cut it and it doesnt end up all tangled up ive had this before and reordered it,-,good,-,-,good
"i used this on a 17 year old buick it is in pretty good shape we dont use it that much with about 100 thousand miles anyway the newer cars get the garage and this one is mainly in the driveway so it gets a lot of sun well my area doesnt seem to get too much warm weather the way it is facing it really only gets morning sun but i worried that it would really take a toll on the leather seats

they arent cracked or faded but are looking a little creased in places i cleaned them really well first with a detergent i used fantastic spray because it seems to be the best cleaner i have used to get off any oily films like on my ceramic fireplace surround on stoves etc it was probably a little harsher than many cleaners but i dont think these seats have been really cleaned in many years to me leather is like skin if i would use it on my skin i dont fear it with leather i have used saddle soaps and i used to clean my leather sofa with dove bar soap it worked super well but i needed more aggressive cleaning here i think dawn dish soap would also work but i wanted less water since i wanted to condition soon after cleaning and not wait a day or so after the soap and water

so seats are clean and ready i noticed that the headrests and the sides and backs of the front seats looked like a different texture i wondered if they were not genuine leather actually being some sort of vinyl or some sort of bonded leather

bonded leather is really ground up bits of leather and other plastics then the mixture is pressed to a backing and then sealed with something i mean technically there is some leather ingredients but if you ever had an office chair where the leather peeled off in bits you know it isnt really like leather still if you are gentle with it and dont expect it to be like split leather or hide then it is fine

anyway i did not use this product on those areas i kept it to the places where the leather felt like supple and had the deeper markings of the skin i used",-,very good,-,-,very good
"on the vinyl and other plastics in the car i got the 8oz bottle because i wasnt sure i would like it  the bottle was sealed with a big piece of tape i guess to prevent the product from leaking except when i tried to peel it off it ripped the entire front label off of the bottle luckily i had peel the back more carefully so i still had the directions it is simple though wipe on  wipe offso i am sure i could have figured it out

it is clear in color and came out of the bottle in a viscous fashion like corn syrup or glycerin thick and sticky that was my nickname in high school ha ha just kidding it wasnt easy to put on initially i poured some on my microfiber cloth and tried to rub it into my seat well it like got stuck not like glue but you really had to pull to move the product around the next swipe i poured it on my cloth and sort of dotted the product around a larger area then rubbed it in to make an even coating by dotting it around i wasnt trying to smear a puddle of the stuff but move smaller dabs of it that worked much better after you sort of have it moved to a generally even coating it is easier to rub the whole area again to get it to be like a film over the whole thing then you are supposed to let it sit for up to a day and wipe off the excess

the next day i was a little nervous that i would go out there and the product would be like sticky paint it looked shinyish like nothing had penetrated at all i envisioned my rag skipping and dragging over the stuff to remove the excess and i was ready to give my hands and arms a real workout to buff this stuff off to my happy surprise i didnt have much of any excess at all there was a corner or two where i didnt get it spread as thinly where i could feel my rag catch but it was only about a square inch at at time it was no longer sticky the leather was really nice and shiny and i really still thought it was the leftover product maybe it changed to like a greasy/oily residue but i kept trying to wipe it off as i didnt want it on our clothes but nothing on my rag i even ran my hand over it with pretty good pressure to see if my hand was shiny afterwards but it was not

i am really happy with the way the seats came out i am hoping that the conditioning treatment will help me keep the seats cleaner now as they are more smooth and dirt will be easier to remove with a just a damp microfiber or super mild soap next time i might want to do this on a warmer day it was in the 50s in the shade when i did it to see if the warmer product would be easier to spread i see that others have warmed their bottles but i was into a big entire detailing project with carpet extractions and steaming and everything and just didnt feel like stopping to warm it when i was finally at this step i did this last because i didnt want to be crawling all over the car to clean window and stuff after i applied it

sorry for the long review but i try to tell everyone my whole experience with using the product my recommendations are 1 first clean your stuff first as much as you can you dont want to seal in dirt i wasnt insane with this step just clean it 2 possibly warm the bottle in warm water or sun i didnt do this and it was fine 3 dot it around to make it easier to get an even coat i made mine thin like a film not a coating sort of like putting lotion on your skin you dont paint it on you put a film on it will still feel sticky if you put your finger on it though 4 then wipe the next day i am sure the absorption rate varies based on how dry your leather is the warmth in the room etc i did not need additional coats maybe for something very dry you may i wouldnt try a heavy single coat you are just gonna waste it if you are wiping off goo if it still isnt nice try another coat and see if it will absorb if not you may have to wait a few weeks for it to penetrate more deeply",-,very good,very good,very good,very good
"the result of using this product are beautiful leather couches that look refreshed the process was a bit tricky however the product is thick you can use warm water to heat it up to make it more viscous my first time using it the product was at room temperature and i used a microfiber cloth the product would not spread i could not spread the product as the product/cloth was pulling the leather every direction i ended up scrapping the cloth and using my hands which worked a lot better

the second time i used it i warmed up the product and just used my hands right off it worked but i think i could have heated up the product more

using your hands works but its hard with a lot of surface area

the day after using the product or a few hours after you are supposed to wipe up any excess this was also difficult because once again the leather couch was pulled by the cloth with some effort i was able to complete it

the application process made me want to give this 4 stars vs 5 but i am thinking it may have been some user error will keep trying different options",-,poor,poor,-,poor
